locus_family	E. cloacae	K. pneumoniae	S. marcescens	C. rodentium	E. coli	S. enterica	num_genomes
557	ECL_RS13605	KPNIH1_RS09310	SMDB11_RS04810	ROD_RS04510	b0880	STM14_RS05165	6
584	ECL_RS19565	KPNIH1_RS20395	SMDB11_RS00905	ROD_RS12545	b2592	STM14_RS14555	6
593	ECL_RS06000	KPNIH1_RS06190	SMDB11_RS01810	ROD_RS02595	b0460	STM14_RS02980	6
604	ECL_RS08040	KPNIH1_RS16225	SMDB11_RS09740	ROD_RS08740	b1243	STM14_RS09630	6
625	ECL_RS02850	KPNIH1_RS02395	SMDB11_RS22445	ROD_RS16050	b4199	STM14_RS23025	6
630	ECL_RS24540	KPNIH1_RS25865	SMDB11_RS21160	ROD_RS21095	b3529	STM14_RS19130	6
636	ECL_RS06015	KPNIH1_RS06205	SMDB11_RS01855	ROD_RS02610	b0463	STM14_RS02995	6
664	ECL_RS15130	KPNIH1_RS07750	SMDB11_RS02145	ROD_RS03200	b0623	STM14_RS03750	6
668	ECL_RS07270	KPNIH1_RS17015	SMDB11_RS10360	ROD_RS09225	b1823	STM14_RS10080	6
694	ECL_RS04070	KPNIH1_RS04035	SMDB11_RS00135	ROD_RS00275	b0046	STM14_RS01005	6
697	ECL_RS23550	KPNIH1_RS25120	SMDB11_RS18935	ROD_RS22025	b3351	STM14_RS18355	6
701	ECL_RS15355	KPNIH1_RS07470	SMDB11_RS21990	ROD_RS02975	b0584	STM14_RS03530	6
739	ECL_RS07320	KPNIH1_RS16960	SMDB11_RS10310	ROD_RS09170	b1814	STM14_RS10025	6
743	ECL_RS14165	KPNIH1_RS08810	SMDB11_RS04090	ROD_RS04240	b0829	STM14_RS04875	6
746	ECL_RS17305	KPNIH1_RS18550	SMDB11_RS12725	ROD_RS11450	b2180	STM14_RS12300	6
759	ECL_RS18155	KPNIH1_RS18995	SMDB11_RS13470	ROD_RS13415	b2309	STM14_RS12985	6
763	ECL_RS13790	KPNIH1_RS09210	SMDB11_RS04690	ROD_RS04410	b0860	STM14_RS05070	6
780	ECL_RS15325	KPNIH1_RS07495	SMDB11_RS13975	ROD_RS03000	b0589	STM14_RS03560	6
781	ECL_RS10700	KPNIH1_RS12910	SMDB11_RS14640	ROD_RS07410	b1542	STM14_RS08395	6
803	ECL_RS07305	KPNIH1_RS16980	SMDB11_RS10325	ROD_RS09190	b1817	STM14_RS10045	6
812	ECL_RS07295	KPNIH1_RS16990	SMDB11_RS10335	ROD_RS09200	b1819	STM14_RS10055	6
815	ECL_RS24010	KPNIH1_RS25560	SMDB11_RS21515	ROD_RS21530	b3458	STM14_RS18875	6
832	ECL_RS18065	KPNIH1_RS18930	SMDB11_RS13380	ROD_RS13320	b2296	STM14_RS12895	6
855	ECL_RS04840	KPNIH1_RS04955	SMDB11_RS15580	ROD_RS01055	b0198	STM14_RS01815	6
859	ECL_RS17020	KPNIH1_RS18300	SMDB11_RS03570	ROD_RS11110	b2128	STM14_RS12020	6
882	ECL_RS09175	KPNIH1_RS14740	SMDB11_RS11880	ROD_RS07885	b1448	STM14_RS08825	6
885	ECL_RS23640	KPNIH1_RS25165	SMDB11_RS19005	ROD_RS21940	b3359	STM14_RS18405	6
886	ECL_RS12010	KPNIH1_RS10880	SMDB11_RS10480	ROD_RS06535	b1748	STM14_RS07375	6
898	ECL_RS20190	KPNIH1_RS21180	SMDB11_RS14690	ROD_RS15290	b2707	STM14_RS15225	6
919	ECL_RS05605	KPNIH1_RS05650	SMDB11_RS01480	ROD_RS02205	b0394	STM14_RS02580	6
921	ECL_RS12345	KPNIH1_RS10315	SMDB11_RS06350	ROD_RS05950	b1119	STM14_RS06605	6
943	ECL_RS18705	KPNIH1_RS19530	SMDB11_RS14275	ROD_RS11935	b2465	STM14_RS13605	6
948	ECL_RS25590	KPNIH1_RS00050	SMDB11_RS20425	ROD_RS19785	b3751	STM14_RS20500	6
953	ECL_RS01070	KPNIH1_RS26030	SMDB11_RS20745	ROD_RS20970	b3550	STM14_RS19285	6
976	ECL_RS03970	KPNIH1_RS03845	SMDB11_RS00030	ROD_RS00040	b0008	STM14_RS00600	6
977	ECL_RS18700	KPNIH1_RS19525	SMDB11_RS14270	ROD_RS11930	b2464	STM14_RS13600	6
989	ECL_RS18685	KPNIH1_RS19425	SMDB11_RS14140	ROD_RS11830	b2435	STM14_RS13485	6
991	ECL_RS20665	KPNIH1_RS22070	SMDB11_RS15895	ROD_RS14140	b2817	STM14_RS15995	6
1009	ECL_RS24445	KPNIH1_RS25765	SMDB11_RS19545	ROD_RS21225	b3495	STM14_RS19010	6
1010	ECL_RS07390	KPNIH1_RS16885	SMDB11_RS10000	ROD_RS09090	b1180	STM14_RS09950	6
1027	ECL_RS22960	KPNIH1_RS24490	SMDB11_RS17760	ROD_RS22745	b3213	STM14_RS17715	6
1029	ECL_RS08020	KPNIH1_RS16260	SMDB11_RS09765	ROD_RS08765	b1237	STM14_RS09650	6
1037	ECL_RS22795	KPNIH1_RS24350	SMDB11_RS22570	ROD_RS22885	b3188	STM14_RS17585	6
1042	ECL_RS18805	KPNIH1_RS19625	SMDB11_RS14435	ROD_RS12045	b2495	STM14_RS13710	6
1058	ECL_RS11460	KPNIH1_RS15175	SMDB11_RS07305	ROD_RS07045	b1658	STM14_RS08005	6
1059	ECL_RS25580	KPNIH1_RS00060	SMDB11_RS20415	ROD_RS19775	b3753	STM14_RS20510	6
1060	ECL_RS16830	KPNIH1_RS18105	SMDB11_RS14575	ROD_RS10940	b2075	STM14_RS11840	6
1061	ECL_RS24790	KPNIH1_RS00850	SMDB11_RS21335	ROD_RS19500	b3811	STM14_RS20805	6
1062	ECL_RS21040	KPNIH1_RS22595	SMDB11_RS16280	ROD_RS24320	b2894	STM14_RS16270	6
1063	ECL_RS14935	KPNIH1_RS07960	SMDB11_RS02360	ROD_RS03425	b0676	STM14_RS04020	6
1064	ECL_RS10900	KPNIH1_RS12845	SMDB11_RS07675	ROD_RS07340	b1594	STM14_RS08295	6
1066	ECL_RS04395	KPNIH1_RS04425	SMDB11_RS16985	ROD_RS00600	b0112	STM14_RS01335	6
1071	ECL_RS12320	KPNIH1_RS10350	SMDB11_RS06385	ROD_RS06070	b1125	STM14_RS06630	6
1072	ECL_RS13835	KPNIH1_RS09180	SMDB11_RS04670	ROD_RS04375	b0856	STM14_RS05035	6
1073	ECL_RS05870	KPNIH1_RS06015	SMDB11_RS01760	ROD_RS02520	b0446	STM14_RS02905	6
1074	ECL_RS24735	KPNIH1_RS00915	SMDB11_RS21395	ROD_RS19440	b3826	STM14_RS20870	6
1075	ECL_RS21605	KPNIH1_RS23440	SMDB11_RS17280	ROD_RS17525	b3009	STM14_RS16880	6
1076	ECL_RS22415	KPNIH1_RS23945	SMDB11_RS17660	ROD_RS23655	b3095	STM14_RS17205	6
1085	ECL_RS23315	KPNIH1_RS24895	SMDB11_RS18710	ROD_RS22340	b3292	STM14_RS18125	6
1086	ECL_RS06115	KPNIH1_RS06320	SMDB11_RS01990	ROD_RS02730	b0487	STM14_RS03110	6
1087	ECL_RS25575	KPNIH1_RS00065	SMDB11_RS20410	ROD_RS19770	b3754	STM14_RS20515	6
1088	ECL_RS16840	KPNIH1_RS18115	SMDB11_RS14585	ROD_RS10950	b2077	STM14_RS11850	6
1101	ECL_RS05830	KPNIH1_RS05985	SMDB11_RS01730	ROD_RS02490	b0440	STM14_RS02875	6
1102	ECL_RS01265	KPNIH1_RS01220	SMDB11_RS21895	ROD_RS18500	b4000	STM14_RS21905	6
1103	ECL_RS24920	KPNIH1_RS00700	SMDB11_RS21195	ROD_RS19640	b3781	STM14_RS20645	6
1104	ECL_RS19515	KPNIH1_RS20340	SMDB11_RS15520	ROD_RS12490	b2582	STM14_RS14500	6
1107	ECL_RS08015	KPNIH1_RS16265	SMDB11_RS09780	ROD_RS08770	b1236	STM14_RS09655	6
1109	ECL_RS04835	KPNIH1_RS04950	SMDB11_RS15585	ROD_RS01050	b0197	STM14_RS01810	6
1115	ECL_RS11590	KPNIH1_RS15895	SMDB11_RS07230	ROD_RS06835	b1680	STM14_RS07720	6
1116	ECL_RS20630	KPNIH1_RS21815	SMDB11_RS15855	ROD_RS14105	b2810	STM14_RS15960	6
1117	ECL_RS04075	KPNIH1_RS04040	SMDB11_RS00140	ROD_RS00280	b0047	STM14_RS01010	6
1118	ECL_RS23545	KPNIH1_RS25115	SMDB11_RS18930	ROD_RS22030	b3350	STM14_RS18350	6
1119	ECL_RS11610	KPNIH1_RS15915	SMDB11_RS07210	ROD_RS06815	b1684	STM14_RS07700	6
1120	ECL_RS19300	KPNIH1_RS20105	SMDB11_RS14925	ROD_RS12215	b2528	STM14_RS13930	6
1121	ECL_RS23015	KPNIH1_RS24530	SMDB11_RS17800	ROD_RS22670	b3234	STM14_RS17800	6
1122	ECL_RS04665	KPNIH1_RS04775	SMDB11_RS00505	ROD_RS00835	b0161	STM14_RS01630	6
1125	ECL_RS12115	KPNIH1_RS10705	SMDB11_RS09885	ROD_RS06360	b1779	STM14_RS07310	6
1145	ECL_RS02555	KPNIH1_RS02035	SMDB11_RS22205	ROD_RS15770	b4138	STM14_RS22700	6
1150	ECL_RS00075	KPNIH1_RS27000	SMDB11_RS20680	ROD_RS20045	b3686	STM14_RS20110	6
1172	ECL_RS17190	KPNIH1_RS18485	SMDB11_RS12655	ROD_RS11380	b2170	STM14_RS12240	6
1174	ECL_RS20405	KPNIH1_RS21500	SMDB11_RS00680	ROD_RS15090	b2742	STM14_RS15665	6
1178	ECL_RS19365	KPNIH1_RS20195	SMDB11_RS15030	ROD_RS12335	b2553	STM14_RS14030	6
1179	ECL_RS05895	KPNIH1_RS06040	SMDB11_RS01785	ROD_RS02545	b0450	STM14_RS02930	6
1180	ECL_RS24685	KPNIH1_RS00965	SMDB11_RS21635	ROD_RS19390	b3836	STM14_RS20925	6
1181	ECL_RS15115	KPNIH1_RS07765	SMDB11_RS02175	ROD_RS03215	b0627	STM14_RS03765	6
1182	ECL_RS14500	KPNIH1_RS08485	SMDB11_RS02840	ROD_RS03960	b0778	STM14_RS04610	6
1183	ECL_RS10895	KPNIH1_RS12850	SMDB11_RS07680	ROD_RS07345	b1593	STM14_RS08300	6
1184	ECL_RS01225	KPNIH1_RS01180	SMDB11_RS21855	ROD_RS18540	b3992	STM14_RS21865	6
1185	ECL_RS14180	KPNIH1_RS08795	SMDB11_RS04070	ROD_RS04225	b0826	STM14_RS04860	6
1186	ECL_RS07310	KPNIH1_RS16975	SMDB11_RS10320	ROD_RS09180	b1816	STM14_RS10035	6
1187	ECL_RS16750	KPNIH1_RS18045	SMDB11_RS04245	ROD_RS10895	b2063	STM14_RS11800	6
1189	ECL_RS03595	KPNIH1_RS03350	SMDB11_RS23165	ROD_RS23850	b4354	STM14_RS23750	6
1193	ECL_RS25250	KPNIH1_RS00385	SMDB11_RS20030	ROD_RS18960	b4484	STM14_RS21370	6
1239	ECL_RS18140	KPNIH1_RS18980	SMDB11_RS13455	ROD_RS13400	b2306	STM14_RS12970	6
1245	ECL_RS22380	KPNIH1_RS23905	SMDB11_RS17615	ROD_RS23695	b3087	STM14_RS17190	6
1270	ECL_RS25375	KPNIH1_RS00220	SMDB11_RS20830	ROD_RS19095	b3894	STM14_RS21240	6
1276	ECL_RS01150	KPNIH1_RS01095	SMDB11_RS21775	ROD_RS18600	b3980	STM14_RS21785	6
1285	ECL_RS12635	KPNIH1_RS33310	SMDB11_RS05745	ROD_RS28710	b1061	STM14_RS06310	6
1297	ECL_RS04255	KPNIH1_RS04280	SMDB11_RS00330	ROD_RS00460	b0084	STM14_RS01190	6
1301	ECL_RS13510	KPNIH1_RS09410	SMDB11_RS04900	ROD_RS04965	b0903	STM14_RS05315	6
1321	ECL_RS16850	KPNIH1_RS18125	SMDB11_RS14595	ROD_RS10960	b2079	STM14_RS11860	6
1326	ECL_RS04845	KPNIH1_RS04960	SMDB11_RS15575	ROD_RS01060	b0199	STM14_RS01820	6
1337	ECL_RS20195	KPNIH1_RS21185	SMDB11_RS14695	ROD_RS15285	b2708	STM14_RS15230	6
1339	ECL_RS06020	KPNIH1_RS06210	SMDB11_RS01860	ROD_RS02615	b0464	STM14_RS03000	6
1342	ECL_RS00605	KPNIH1_RS26400	SMDB11_RS20195	ROD_RS20585	b3638	STM14_RS19715	6
1355	ECL_RS10285	KPNIH1_RS12355	SMDB11_RS09135	ROD_RS08100	b1412	STM14_RS09080	6
1361	ECL_RS07160	KPNIH1_RS17125	SMDB11_RS06025	ROD_RS09325	b1842	STM14_RS10290	6
1364	ECL_RS11690	KPNIH1_RS16015	SMDB11_RS07200	ROD_RS06805	b1686	STM14_RS07685	6
1366	ECL_RS07970	KPNIH1_RS14580	SMDB11_RS10580	ROD_RS07835	b1227	STM14_RS08775	6
1367	ECL_RS07965	KPNIH1_RS14575	SMDB11_RS10585	ROD_RS07830	b1226	STM14_RS08770	6
1368	ECL_RS07960	KPNIH1_RS14570	SMDB11_RS10590	ROD_RS07825	b1225	STM14_RS08765	6
1369	ECL_RS07955	KPNIH1_RS14565	SMDB11_RS10595	ROD_RS07820	b1224	STM14_RS08760	6
1370	ECL_RS07950	KPNIH1_RS16335	SMDB11_RS10660	ROD_RS08825	b1223	STM14_RS09715	6
1385	ECL_RS01545	KPNIH1_RS01560	SMDB11_RS18320	ROD_RS17885	b4059	STM14_RS22345	6
1389	ECL_RS03590	KPNIH1_RS03345	SMDB11_RS23160	ROD_RS23845	b4353	STM14_RS23745	6
1394	ECL_RS23995	KPNIH1_RS25545	SMDB11_RS21530	ROD_RS21555	b3455	STM14_RS18860	6
1398	ECL_RS12675	KPNIH1_RS10050	SMDB11_RS05675	ROD_RS05605	b1053	STM14_RS06270	6
1400	ECL_RS16490	KPNIH1_RS17875	SMDB11_RS12545	ROD_RS10670	b2014	STM14_RS11545	6
1416	ECL_RS25380	KPNIH1_RS00215	SMDB11_RS20835	ROD_RS19100	b3893	STM14_RS21235	6
1418	ECL_RS23035	KPNIH1_RS24550	SMDB11_RS22550	ROD_RS22650	b3238	STM14_RS17865	6
1419	ECL_RS12315	KPNIH1_RS10355	SMDB11_RS06390	ROD_RS06075	b1126	STM14_RS06635	6
1422	ECL_RS25585	KPNIH1_RS00055	SMDB11_RS20420	ROD_RS19780	b3752	STM14_RS20505	6
1432	ECL_RS06730	KPNIH1_RS17425	SMDB11_RS10785	ROD_RS09775	b1918	STM14_RS10670	6
1459	ECL_RS01100	KPNIH1_RS25980	SMDB11_RS21090	ROD_RS21015	b3544	STM14_RS19215	6
1469	ECL_RS04780	KPNIH1_RS04890	SMDB11_RS15645	ROD_RS00980	b0186	STM14_RS01755	6
1500	ECL_RS04360	KPNIH1_RS04390	SMDB11_RS00440	ROD_RS00565	b0107	STM14_RS01300	6
1504	ECL_RS25190	KPNIH1_RS26565	SMDB11_RS19970	ROD_RS18880	b3927	STM14_RS21500	6
1507	ECL_RS14290	KPNIH1_RS08705	SMDB11_RS03815	ROD_RS04150	b0814	STM14_RS04800	6
1515	ECL_RS01510	KPNIH1_RS01525	SMDB11_RS18370	ROD_RS17935	b4052	STM14_RS22295	6
1540	ECL_RS23705	KPNIH1_RS25235	SMDB11_RS19095	ROD_RS21870	b3387	STM14_RS18485	6
1542	ECL_RS24005	KPNIH1_RS25555	SMDB11_RS21520	ROD_RS21545	b3457	STM14_RS18870	6
1612	ECL_RS04610	KPNIH1_RS04720	SMDB11_RS16840	ROD_RS00780	b0150	STM14_RS01540	6
1622	ECL_RS00195	KPNIH1_RS26895	SMDB11_RS21075	ROD_RS20170	b3667	STM14_RS20005	6
1627	ECL_RS11330	KPNIH1_RS15045	SMDB11_RS07490	ROD_RS07160	b1634	STM14_RS08115	6
1630	ECL_RS15075	KPNIH1_RS07805	SMDB11_RS02210	ROD_RS03275	b0635	STM14_RS03805	6
1644	ECL_RS03220	KPNIH1_RS02765	SMDB11_RS23015	ROD_RS16385	b4254	STM14_RS23400	6
1646	ECL_RS23935	KPNIH1_RS25470	SMDB11_RS19330	ROD_RS21635	b3438	STM14_RS18770	6
1650	ECL_RS18715	KPNIH1_RS19540	SMDB11_RS14280	ROD_RS11945	b2467	STM14_RS13620	6
1655	ECL_RS23490	KPNIH1_RS25060	SMDB11_RS18860	ROD_RS22085	b3340	STM14_RS18295	6
1665	ECL_RS18535	KPNIH1_RS19235	SMDB11_RS13925	ROD_RS13870	b2393	STM14_RS13270	6
1673	ECL_RS23680	KPNIH1_RS25215	SMDB11_RS19075	ROD_RS21895	b3368	STM14_RS18450	6
1676	ECL_RS23900	KPNIH1_RS25440	SMDB11_RS19300	ROD_RS21665	b3431	STM14_RS18745	6
1680	ECL_RS16735	KPNIH1_RS18015	SMDB11_RS04265	ROD_RS10880	b2060	STM14_RS11785	6
1688	ECL_RS24000	KPNIH1_RS25550	SMDB11_RS21525	ROD_RS21550	b3456	STM14_RS18865	6
1689	ECL_RS13610	KPNIH1_RS09305	SMDB11_RS04805	ROD_RS04505	b0879	STM14_RS05160	6
1693	ECL_RS23670	KPNIH1_RS25205	SMDB11_RS19060	ROD_RS21910	b3365	STM14_RS18435	6
1709	ECL_RS00185	KPNIH1_RS26905	SMDB11_RS21065	ROD_RS20160	b3669	STM14_RS20015	6
1711	ECL_RS25195	KPNIH1_RS26570	SMDB11_RS19975	ROD_RS18885	b3926	STM14_RS21495	6
1744	ECL_RS03175	KPNIH1_RS02710	SMDB11_RS22980	ROD_RS16350	b4242	STM14_RS23360	6
1752	ECL_RS04690	KPNIH1_RS04800	SMDB11_RS15765	ROD_RS00865	b0168	STM14_RS01660	6
1753	ECL_RS12465	KPNIH1_RS10185	SMDB11_RS05805	ROD_RS05805	b1095	STM14_RS06490	6
1767	ECL_RS21020	KPNIH1_RS22575	SMDB11_RS16250	ROD_RS24340	b2890	STM14_RS16250	6
1773	ECL_RS14725	KPNIH1_RS08180	SMDB11_RS02580	ROD_RS03685	b0733	STM14_RS04320	6
1776	ECL_RS14720	KPNIH1_RS08185	SMDB11_RS02585	ROD_RS03690	b0734	STM14_RS04325	6
1791	ECL_RS01520	KPNIH1_RS01535	SMDB11_RS18350	ROD_RS17925	b4054	STM14_RS22305	6
1799	ECL_RS21765	KPNIH1_RS23550	SMDB11_RS17440	ROD_RS17655	b3038	STM14_RS17015	6
1818	ECL_RS10905	KPNIH1_RS12840	SMDB11_RS07670	ROD_RS07335	b1595	STM14_RS08290	6
1821	ECL_RS12125	KPNIH1_RS10690	SMDB11_RS09895	ROD_RS06345	b1782	STM14_RS07290	6
1833	ECL_RS17500	KPNIH1_RS18765	SMDB11_RS13215	ROD_RS13150	b2250	STM14_RS12680	6
1835	ECL_RS16740	KPNIH1_RS30295	SMDB11_RS23960	ROD_RS10885	b2061	STM14_RS11790	6
1845	ECL_RS12295	KPNIH1_RS10365	SMDB11_RS06405	ROD_RS06090	b1128	STM14_RS06655	6
1848	ECL_RS23785	KPNIH1_RS25315	SMDB11_RS19170	ROD_RS21795	b3403	STM14_RS18565	6
1850	ECL_RS11815	KPNIH1_RS16070	SMDB11_RS07070	ROD_RS06710	b1710	STM14_RS07565	6
1858	ECL_RS21185	KPNIH1_RS22770	SMDB11_RS16690	ROD_RS24830	b2936	STM14_RS16445	6
1863	ECL_RS02635	KPNIH1_RS02165	SMDB11_RS22265	ROD_RS15845	b4149	STM14_RS22775	6
1919	ECL_RS20070	KPNIH1_RS21040	SMDB11_RS15510	ROD_RS15405	b2686	STM14_RS15110	6
1920	ECL_RS15310	KPNIH1_RS07515	SMDB11_RS22015	ROD_RS03020	b0593	STM14_RS03580	6
1929	ECL_RS03910	KPNIH1_RS03775	SMDB11_RS23745	ROD_RS24990	b4396	STM14_RS24020	6
1947	ECL_RS07300	KPNIH1_RS16985	SMDB11_RS10330	ROD_RS09195	b1818	STM14_RS10050	6
1954	ECL_RS21600	KPNIH1_RS23435	SMDB11_RS17275	ROD_RS17520	b3008	STM14_RS16875	6
1955	ECL_RS17175	KPNIH1_RS18470	SMDB11_RS12625	ROD_RS11365	b2167	STM14_RS12225	6
1965	ECL_RS24885	KPNIH1_RS00745	SMDB11_RS21240	ROD_RS19595	b3791	STM14_RS20690	6
1966	ECL_RS11420	KPNIH1_RS15130	SMDB11_RS07335	ROD_RS07080	b1650	STM14_RS08035	6
1969	ECL_RS01575	KPNIH1_RS01670	SMDB11_RS18280	ROD_RS16990	b4064	STM14_RS22405	6
1970	ECL_RS25735	KPNIH1_RS27130	SMDB11_RS20590	ROD_RS19935	b3714	STM14_RS20335	6
1985	ECL_RS07130	KPNIH1_RS17155	SMDB11_RS10070	ROD_RS09365	b1850	STM14_RS10330	6
2006	ECL_RS04735	KPNIH1_RS04845	SMDB11_RS15720	ROD_RS00910	b0177	STM14_RS01705	6
2011	ECL_RS04605	KPNIH1_RS04715	SMDB11_RS16845	ROD_RS00775	b0149	STM14_RS01535	6
2013	ECL_RS21160	KPNIH1_RS22745	SMDB11_RS16595	ROD_RS24950	b2924	STM14_RS16395	6
2025	ECL_RS25525	KPNIH1_RS00115	SMDB11_RS20360	ROD_RS19280	b3860	STM14_RS21040	6
2027	ECL_RS14785	KPNIH1_RS08130	SMDB11_RS02530	ROD_RS03635	b0720	STM14_RS04265	6
2057	ECL_RS11475	KPNIH1_RS15190	SMDB11_RS07290	ROD_RS07030	b1661	STM14_RS07990	6
2063	ECL_RS13675	KPNIH1_RS09250	SMDB11_RS04735	ROD_RS04450	b0868	STM14_RS05110	6
